,simulation,model,n_sample,n_dim,rep,s@98
190,trunk,KNN,512.0,4096.0,90.0,0.0116892911010558
191,trunk,KNN,512.0,4096.0,92.0,0.0117647058823529
192,trunk,KNN,512.0,4096.0,91.0,0.0
193,trunk,KNN,512.0,4096.0,96.0,0.0352187028657616
194,trunk,KNN,512.0,4096.0,94.0,0.0076923076923076
195,trunk,KNN,512.0,4096.0,95.0,0.0274509803921568
196,trunk,KNN,512.0,4096.0,93.0,0.0156108597285067
197,trunk,KNN,512.0,4096.0,97.0,0.0194570135746606
198,trunk,KNN,512.0,4096.0,99.0,0.0509049773755656
199,trunk,KNN,512.0,4096.0,98.0,0.0233785822021116
200,trunk,KNN,1024.0,4096.0,1.0,0.0214353702646106
201,trunk,KNN,1024.0,4096.0,3.0,0.0
202,trunk,KNN,1024.0,4096.0,2.0,0.015610127546164
203,trunk,KNN,1024.0,4096.0,0.0,0.0058252427184466
204,trunk,KNN,1024.0,4096.0,4.0,0.0194365124690652
205,trunk,KNN,1024.0,4096.0,5.0,0.0136493432324386
206,trunk,KNN,1024.0,4096.0,6.0,0.0
207,trunk,KNN,1024.0,4096.0,7.0,0.0
208,trunk,KNN,1024.0,4096.0,8.0,0.0117647058823529
209,trunk,KNN,1024.0,4096.0,9.0,0.0
210,trunk,KNN,1024.0,4096.0,10.0,0.0213592233009708
211,trunk,KNN,1024.0,4096.0,12.0,0.0
212,trunk,KNN,1024.0,4096.0,11.0,0.0039215686274509
213,trunk,KNN,1024.0,4096.0,15.0,0.0331048924424138
214,trunk,KNN,1024.0,4096.0,16.0,0.015610127546164
215,trunk,KNN,1024.0,4096.0,13.0,0.0175899486007995
216,trunk,KNN,1024.0,4096.0,14.0,0.023472301541976
217,trunk,KNN,1024.0,4096.0,20.0,0.0077669902912621
218,trunk,KNN,1024.0,4096.0,17.0,0.0078431372549019
219,trunk,KNN,1024.0,4096.0,18.0,0.015629164287074
220,trunk,KNN,1024.0,4096.0,19.0,0.0137064534551684
221,trunk,KNN,1024.0,4096.0,21.0,0.003883495145631
222,trunk,KNN,1024.0,4096.0,24.0,0.0175518751189796
223,trunk,KNN,1024.0,4096.0,23.0,0.0136493432324386
224,trunk,KNN,1024.0,4096.0,22.0,0.0253759756329716
225,trunk,KNN,1024.0,4096.0,25.0,0.0097277746049876
226,trunk,KNN,1024.0,4096.0,27.0,0.0097277746049876
227,trunk,KNN,1024.0,4096.0,26.0,0.0136874167142585
228,trunk,KNN,1024.0,4096.0,32.0,0.0097087378640776
229,trunk,KNN,1024.0,4096.0,30.0,0.0039215686274509
230,trunk,KNN,1024.0,4096.0,29.0,0.0117456691414429
231,trunk,KNN,1024.0,4096.0,28.0,0.015648201027984
232,trunk,KNN,1024.0,4096.0,31.0,0.0195126594327051
233,trunk,KNN,1024.0,4096.0,33.0,0.0136493432324386
234,trunk,KNN,1024.0,4096.0,35.0,0.0176470588235294
235,trunk,KNN,1024.0,4096.0,34.0,0.0214353702646106
236,trunk,KNN,1024.0,4096.0,38.0,0.0117647058823529
237,trunk,KNN,1024.0,4096.0,36.0,0.031277365315058
238,trunk,KNN,1024.0,4096.0,37.0,0.0214924804873405
239,trunk,KNN,1024.0,4096.0,39.0,0.0098039215686274
240,trunk,KNN,1024.0,4096.0,40.0,0.0213972967827907
241,trunk,KNN,1024.0,4096.0,41.0,0.0195126594327051
242,trunk,KNN,1024.0,4096.0,42.0,0.0312392918332381
243,trunk,KNN,1024.0,4096.0,44.0,0.015610127546164
244,trunk,KNN,1024.0,4096.0,45.0,0.0195888063963449
245,trunk,KNN,1024.0,4096.0,43.0,0.0331239291833238
246,trunk,KNN,1024.0,4096.0,48.0,0.0
247,trunk,KNN,1024.0,4096.0,46.0,0.0195697696554349
248,trunk,KNN,1024.0,4096.0,47.0,0.0136303064915286
249,trunk,KNN,1024.0,4096.0,55.0,0.0
250,trunk,KNN,1024.0,4096.0,51.0,0.0058633162002665
251,trunk,KNN,1024.0,4096.0,52.0,0.0254140491147915
252,trunk,KNN,1024.0,4096.0,50.0,0.0058442794593565
253,trunk,KNN,1024.0,4096.0,54.0,0.0136303064915286
254,trunk,KNN,1024.0,4096.0,49.0,0.0234151913192461
255,trunk,KNN,1024.0,4096.0,53.0,0.0196078431372549
256,trunk,KNN,1024.0,4096.0,56.0,0.0137254901960784
257,trunk,KNN,1024.0,4096.0,57.0,0.0077669902912621
258,trunk,KNN,1024.0,4096.0,58.0,0.0039215686274509
259,trunk,KNN,1024.0,4096.0,62.0,0.0254330858557015
260,trunk,KNN,1024.0,4096.0,61.0,0.0117456691414429
261,trunk,KNN,1024.0,4096.0,60.0,0.0254901960784313
262,trunk,KNN,1024.0,4096.0,59.0,0.015629164287074
263,trunk,KNN,1024.0,4096.0,63.0,0.0253759756329716
264,trunk,KNN,1024.0,4096.0,64.0,0.0155530173234342
265,trunk,KNN,1024.0,4096.0,66.0,0.0253569388920616
266,trunk,KNN,1024.0,4096.0,67.0,0.0117456691414429
267,trunk,KNN,1024.0,4096.0,65.0,0.0233961545783361
268,trunk,KNN,1024.0,4096.0,68.0,0.0019607843137254
269,trunk,KNN,1024.0,4096.0,69.0,0.0117456691414429
270,trunk,KNN,1024.0,4096.0,70.0,0.015629164287074
271,trunk,KNN,1024.0,4096.0,71.0,0.007824100513992
272,trunk,KNN,1024.0,4096.0,72.0,0.0175899486007995
273,trunk,KNN,1024.0,4096.0,73.0,0.0215686274509803
274,trunk,KNN,1024.0,4096.0,74.0,0.0196078431372549
275,trunk,KNN,1024.0,4096.0,75.0,0.0156862745098039
276,trunk,KNN,1024.0,4096.0,77.0,0.003902531886541
277,trunk,KNN,1024.0,4096.0,76.0,0.0019607843137254
278,trunk,KNN,1024.0,4096.0,78.0,0.0
279,trunk,KNN,1024.0,4096.0,80.0,0.0097658480868075
280,trunk,KNN,1024.0,4096.0,79.0,0.0215686274509803
281,trunk,KNN,1024.0,4096.0,82.0,0.0195126594327051
282,trunk,KNN,1024.0,4096.0,81.0,0.0176470588235294
283,trunk,KNN,1024.0,4096.0,84.0,0.0
284,trunk,KNN,1024.0,4096.0,83.0,0.0058442794593565
285,trunk,KNN,1024.0,4096.0,86.0,0.0155530173234342
286,trunk,KNN,1024.0,4096.0,85.0,0.019531696173615
287,trunk,KNN,1024.0,4096.0,91.0,0.0235294117647058
288,trunk,KNN,1024.0,4096.0,87.0,0.0137254901960784
289,trunk,KNN,1024.0,4096.0,88.0,0.007824100513992
290,trunk,KNN,1024.0,4096.0,89.0,0.0097658480868075
291,trunk,KNN,1024.0,4096.0,92.0,0.0
292,trunk,KNN,1024.0,4096.0,93.0,0.0078431372549019
293,trunk,KNN,1024.0,4096.0,90.0,0.0
294,trunk,KNN,1024.0,4096.0,94.0,0.0019417475728155
295,trunk,KNN,1024.0,4096.0,97.0,0.0098039215686274
296,trunk,KNN,1024.0,4096.0,96.0,0.0175328383780696
297,trunk,KNN,1024.0,4096.0,99.0,0.0214734437464306
298,trunk,KNN,1024.0,4096.0,95.0,0.0
299,trunk,KNN,1024.0,4096.0,98.0,0.0019607843137254
300,trunk,KNN,2048.0,4096.0,3.0,0.0
301,trunk,KNN,2048.0,4096.0,4.0,0.0097560975609756
302,trunk,KNN,2048.0,4096.0,1.0,0.0195313247250119
303,trunk,KNN,2048.0,4096.0,0.0,0.0048780487804878
304,trunk,KNN,2048.0,4096.0,7.0,0.0068292682926829
305,trunk,KNN,2048.0,4096.0,5.0,0.0039024390243902
306,trunk,KNN,2048.0,4096.0,2.0,0.0097656623625059
307,trunk,KNN,2048.0,4096.0,6.0,0.0224390243902439
308,trunk,KNN,2048.0,4096.0,8.0,0.0019512195121951
309,trunk,KNN,2048.0,4096.0,9.0,0.0
310,trunk,KNN,2048.0,4096.0,11.0,0.0078431372549019
311,trunk,KNN,2048.0,4096.0,14.0,0.0107747489239598
312,trunk,KNN,2048.0,4096.0,12.0,0.0
313,trunk,KNN,2048.0,4096.0,10.0,0.0
314,trunk,KNN,2048.0,4096.0,17.0,0.0
315,trunk,KNN,2048.0,4096.0,13.0,0.0039024390243902
316,trunk,KNN,2048.0,4096.0,15.0,0.0
317,trunk,KNN,2048.0,4096.0,20.0,0.0
318,trunk,KNN,2048.0,4096.0,16.0,0.0039024390243902
319,trunk,KNN,2048.0,4096.0,19.0,0.0
320,trunk,KNN,2048.0,4096.0,18.0,0.0107317073170731
321,trunk,KNN,2048.0,4096.0,23.0,0.0097560975609756
322,trunk,KNN,2048.0,4096.0,21.0,0.0
323,trunk,KNN,2048.0,4096.0,22.0,0.0166044954567192
324,trunk,KNN,2048.0,4096.0,26.0,0.0361262553802008
325,trunk,KNN,2048.0,4096.0,24.0,0.0019512195121951
326,trunk,KNN,2048.0,4096.0,27.0,0.0029411764705882
327,trunk,KNN,2048.0,4096.0,33.0,0.0156336681013868
328,trunk,KNN,2048.0,4096.0,25.0,0.0
329,trunk,KNN,2048.0,4096.0,29.0,0.0205117168818747
330,trunk,KNN,2048.0,4096.0,28.0,0.0185796269727403
331,trunk,KNN,2048.0,4096.0,30.0,0.0273170731707317
332,trunk,KNN,2048.0,4096.0,32.0,0.0
333,trunk,KNN,2048.0,4096.0,38.0,0.0049019607843137
334,trunk,KNN,2048.0,4096.0,34.0,0.0068292682926829
335,trunk,KNN,2048.0,4096.0,37.0,0.007819225251076
336,trunk,KNN,2048.0,4096.0,31.0,0.0068292682926829
337,trunk,KNN,2048.0,4096.0,44.0,0.0
338,trunk,KNN,2048.0,4096.0,36.0,0.0068292682926829
339,trunk,KNN,2048.0,4096.0,35.0,0.0058536585365853
340,trunk,KNN,2048.0,4096.0,39.0,0.0097560975609756
341,trunk,KNN,2048.0,4096.0,41.0,0.017560975609756
342,trunk,KNN,2048.0,4096.0,40.0,0.0214634146341463
343,trunk,KNN,2048.0,4096.0,42.0,0.0058536585365853
344,trunk,KNN,2048.0,4096.0,43.0,0.0
345,trunk,KNN,2048.0,4096.0,45.0,0.0
346,trunk,KNN,2048.0,4096.0,46.0,0.008780487804878
347,trunk,KNN,2048.0,4096.0,48.0,0.0
348,trunk,KNN,2048.0,4096.0,51.0,0.0068292682926829
349,trunk,KNN,2048.0,4096.0,47.0,0.0078048780487804
350,trunk,KNN,2048.0,4096.0,49.0,0.0048780487804878
351,trunk,KNN,2048.0,4096.0,59.0,0.0
352,trunk,KNN,2048.0,4096.0,50.0,0.0126829268292682
353,trunk,KNN,2048.0,4096.0,52.0,0.0039024390243902
354,trunk,KNN,2048.0,4096.0,55.0,0.0068292682926829
355,trunk,KNN,2048.0,4096.0,53.0,0.0009803921568627
356,trunk,KNN,2048.0,4096.0,58.0,0.0097560975609756
357,trunk,KNN,2048.0,4096.0,54.0,0.0068388330942132
358,trunk,KNN,2048.0,4096.0,56.0,0.0107317073170731
359,trunk,KNN,2048.0,4096.0,60.0,0.0
360,trunk,KNN,2048.0,4096.0,57.0,0.0126829268292682
361,trunk,KNN,2048.0,4096.0,62.0,0.0
362,trunk,KNN,2048.0,4096.0,63.0,0.0185365853658536
363,trunk,KNN,2048.0,4096.0,61.0,0.0117312290769966
364,trunk,KNN,2048.0,4096.0,64.0,0.0254328072692491
365,trunk,KNN,2048.0,4096.0,68.0,0.0
366,trunk,KNN,2048.0,4096.0,65.0,0.0
367,trunk,KNN,2048.0,4096.0,67.0,0.0195456719273075
368,trunk,KNN,2048.0,4096.0,66.0,0.0205117168818747
369,trunk,KNN,2048.0,4096.0,70.0,0.0
370,trunk,KNN,2048.0,4096.0,85.0,0.0078048780487804
371,trunk,KNN,2048.0,4096.0,71.0,0.0068627450980392
372,trunk,KNN,2048.0,4096.0,69.0,0.0146437111429937
373,trunk,KNN,2048.0,4096.0,73.0,0.0185365853658536
374,trunk,KNN,2048.0,4096.0,76.0,0.0019512195121951
375,trunk,KNN,2048.0,4096.0,75.0,0.0097560975609756
376,trunk,KNN,2048.0,4096.0,72.0,0.017560975609756
377,trunk,KNN,2048.0,4096.0,74.0,0.0048780487804878
378,trunk,KNN,2048.0,4096.0,80.0,0.0009756097560975
379,trunk,KNN,2048.0,4096.0,79.0,0.0
380,trunk,KNN,2048.0,4096.0,81.0,0.0058536585365853
381,trunk,KNN,2048.0,4096.0,77.0,0.015638450502152
382,trunk,KNN,2048.0,4096.0,78.0,0.0
383,trunk,KNN,2048.0,4096.0,83.0,0.0136585365853658
384,trunk,KNN,2048.0,4096.0,82.0,0.0
385,trunk,KNN,2048.0,4096.0,97.0,0.0058823529411764
386,trunk,KNN,2048.0,4096.0,84.0,0.0
387,trunk,KNN,2048.0,4096.0,87.0,0.0146724055475848
