sas98,cmi,idx,n_samples,n_dims_1,n_dims_2
0.0,0.0,62,1024,4093,6
0.0,0.0,63,128,4093,6
0.0,0.0,63,256,4093,6
0.0,0.0,63,512,4093,6
0.0,0.0,63,1024,4093,6
0.0,0.0,64,128,4093,6
0.0,0.0,64,256,4093,6
0.0,0.0,64,512,4093,6
0.0,0.0,64,1024,4093,6
0.0,0.0,65,128,4093,6
0.0,0.0,65,256,4093,6
0.0,0.0,65,512,4093,6
0.0,0.0,65,1024,4093,6
0.0,0.0,66,128,4093,6
0.0,0.0,66,256,4093,6
0.0,0.0,66,512,4093,6
0.0,0.0,66,1024,4093,6
0.0,0.0,67,128,4093,6
0.0,0.0,67,256,4093,6
0.0,0.0,67,512,4093,6
0.0,0.0,67,1024,4093,6
0.0,0.0,68,128,4093,6
0.0,0.0,68,256,4093,6
0.0,0.0,68,512,4093,6
0.0,0.0,68,1024,4093,6
0.0,0.0,69,128,4093,6
0.0,0.0,69,256,4093,6
0.0,0.0,69,512,4093,6
0.0,0.0,69,1024,4093,6
0.0,0.0,70,128,4093,6
0.0,0.0,70,256,4093,6
0.0,0.0,70,512,4093,6
0.0,0.0,70,1024,4093,6
0.0,0.0,71,128,4093,6
0.0,0.0,71,256,4093,6
0.0,0.0,71,512,4093,6
0.0,0.0,71,1024,4093,6
0.0,0.0,72,128,4093,6
0.0,0.0,72,256,4093,6
0.0,0.0,72,512,4093,6
0.0,0.0,72,1024,4093,6
0.0,0.0,73,128,4093,6
0.0,0.0,73,256,4093,6
0.0,0.0,73,512,4093,6
0.0,0.0,73,1024,4093,6
0.0,0.0,74,128,4093,6
0.0,0.0,74,256,4093,6
0.0,0.0,74,512,4093,6
0.0,0.0,74,1024,4093,6
0.0,0.0,75,128,4093,6
0.0,0.0,75,256,4093,6
0.0,0.0,75,512,4093,6
0.0,0.0,75,1024,4093,6
0.0,0.0,76,128,4093,6
0.0,0.0,76,256,4093,6
0.0,0.0,76,512,4093,6
0.0,0.0,76,1024,4093,6
0.0,0.0,77,128,4093,6
0.0,0.0,77,256,4093,6
0.0,0.0,77,512,4093,6
0.0,0.0,77,1024,4093,6
0.0,0.0,78,128,4093,6
0.0,0.0,78,256,4093,6
0.0,0.0,78,512,4093,6
