sas98,cmi,idx,n_samples,n_dims_1,n_dims_2
0.01171875,0.002665440809612285,30,512,2,6
-0.01171875,0.0011493604404412272,30,512,10,6
0.0234375,0.0011609335322577685,30,512,26,6
0.01953125,0.00047580193875029764,30,512,58,6
-0.015625,-9.953109594118548e-05,30,512,122,6
-0.0078125,0.00010117885738314403,30,512,250,6
-0.00390625,-0.0001264507171777618,30,512,506,6
0.0078125,-1.6258033090910118e-06,30,512,1018,6
-0.03515625,-0.0007299417566482003,31,512,2,6
0.01953125,-0.0011605019217255652,31,512,10,6
0.00390625,0.0002544752617207324,31,512,26,6
-0.0078125,-0.00017386399272245612,31,512,58,6
0.0078125,0.00033792592265513566,31,512,122,6
-0.00390625,-3.707038546385544e-05,31,512,250,6
0.01171875,0.0001298442061701266,31,512,506,6
0.00390625,-9.219596464271618e-06,31,512,1018,6
0.02734375,-0.0016589200871169885,32,512,2,6
0.00390625,-0.00010270231650366668,32,512,10,6
0.00390625,-0.0008818851892210544,32,512,26,6
-0.01171875,-5.689312960788229e-05,32,512,58,6
0.0,-3.7693305680042144e-05,32,512,122,6
0.0078125,-0.00017910772343332493,32,512,250,6
-0.015625,6.266754700168242e-06,32,512,506,6
-0.0234375,3.5849492991846255e-05,32,512,1018,6
-0.02734375,-0.0007297576361089408,33,512,2,6
-0.0234375,0.0005594190947501021,33,512,10,6
-0.0234375,0.0005142502890868039,33,512,26,6
0.0078125,0.0004371217505991787,33,512,58,6
0.0,-3.0000891847570266e-05,33,512,122,6
-0.01171875,0.00015548269238407908,33,512,250,6
0.01171875,8.04650051515754e-05,33,512,506,6
0.00390625,-0.00022020475789752414,33,512,1018,6
0.00390625,0.002299818468964654,34,512,2,6
-0.0078125,0.0005667589611787482,34,512,10,6
0.015625,0.0003793090059301951,34,512,26,6
-0.015625,-0.0006064896472071091,34,512,58,6
0.0078125,5.585488287995766e-06,34,512,122,6
-0.0078125,4.065540731534867e-05,34,512,250,6
-0.00390625,-1.658084019851014e-05,34,512,506,6
0.00390625,0.0001893919088521434,34,512,1018,6
0.04296875,-0.0010077496115680207,35,512,2,6
0.0390625,-8.477771092030295e-05,35,512,10,6
-0.00390625,-0.00015106017223609491,35,512,26,6
0.015625,0.00014323728451881568,35,512,58,6
-0.00390625,7.316939954593593e-06,35,512,122,6
0.01171875,-0.00013306024749315526,35,512,250,6
-0.0078125,-6.445253688536212e-06,35,512,506,6
0.0,-5.010615267475593e-06,35,512,1018,6
-0.0078125,-0.0008205375085817979,36,512,2,6
-0.00390625,-0.0009789532030397563,36,512,10,6
0.01953125,-0.000555811397036754,36,512,26,6
-0.01953125,3.443182781837084e-05,36,512,58,6
-0.03515625,-0.0002587509133682442,36,512,122,6
-0.0390625,-0.00012742294480450056,36,512,250,6
0.0078125,3.4669878735682502e-06,36,512,506,6
0.00390625,-9.05239216530962e-05,36,512,1018,6
-0.0078125,0.0018638309409615417,37,512,2,6
-0.04296875,0.0013070608253933358,37,512,10,6
-0.0234375,0.0004656607461384077,37,512,26,6
0.02734375,0.0002592009437611953,37,512,58,6
0.02734375,0.0003728996608993729,37,512,122,6
0.046875,7.869061243759301e-05,37,512,250,6
0.0,5.396006606650516e-06,37,512,506,6
0.01171875,4.073420596495403e-05,37,512,1018,6
0.0,0.0006779530538638667,38,512,2,6
0.04296875,-5.3469049013377123e-05,38,512,10,6
0.0078125,-0.00042130280667651565,38,512,26,6
-0.00390625,0.00010249172607790236,38,512,58,6
0.015625,-0.0005759078166707177,38,512,122,6
