n_dims_1,sim_type,model,metric,metric_value
58,multi_equal,lr,auc,0.5299530029296875
58,multi_equal,lr,auc,0.5250091552734375
58,multi_equal,lr,auc,0.52545166015625
58,multi_equal,lr,auc,0.541778564453125
58,multi_equal,lr,auc,0.5171356201171875
58,multi_equal,lr,auc,0.5177154541015625
58,multi_equal,lr,auc,0.511199951171875
58,multi_equal,lr,auc,0.4922027587890625
58,multi_equal,lr,auc,0.48760986328125
58,multi_equal,lr,auc,0.5464935302734375
58,multi_equal,lr,auc,0.5045928955078125
58,multi_equal,lr,auc,0.4542694091796875
58,multi_equal,lr,auc,0.54730224609375
58,multi_equal,lr,auc,0.50250244140625
58,multi_equal,lr,auc,0.5531158447265625
58,multi_equal,lr,auc,0.4780731201171875
58,multi_equal,lr,auc,0.5156097412109375
58,multi_equal,lr,auc,0.48065185546875
58,multi_equal,lr,auc,0.5155181884765625
58,multi_equal,lr,auc,0.489227294921875
58,multi_equal,lr,auc,0.463348388671875
58,multi_equal,lr,auc,0.567657470703125
58,multi_equal,lr,auc,0.5379791259765625
58,multi_equal,lr,auc,0.4765167236328125
58,multi_equal,lr,auc,0.55096435546875
58,multi_equal,lr,auc,0.492523193359375
58,multi_equal,lr,auc,0.4780120849609375
58,multi_equal,lr,auc,0.5187530517578125
58,multi_equal,lr,auc,0.4423980712890625
58,multi_equal,lr,auc,0.53363037109375
58,multi_equal,lr,auc,0.5066375732421875
58,multi_equal,lr,auc,0.500457763671875
58,multi_equal,lr,auc,0.446624755859375
58,multi_equal,lr,auc,0.5079193115234375
58,multi_equal,lr,auc,0.5166015625
58,multi_equal,lr,auc,0.49566650390625
58,multi_equal,lr,auc,0.55535888671875
58,multi_equal,lr,auc,0.51300048828125
58,multi_equal,lr,auc,0.50872802734375
58,multi_equal,lr,auc,0.4248046875
58,multi_equal,lr,auc,0.53955078125
58,multi_equal,lr,auc,0.567413330078125
58,multi_equal,lr,auc,0.5114288330078125
58,multi_equal,lr,auc,0.5084075927734375
58,multi_equal,lr,auc,0.55206298828125
58,multi_equal,lr,auc,0.46563720703125
58,multi_equal,lr,auc,0.449859619140625
58,multi_equal,lr,auc,0.484954833984375
58,multi_equal,lr,auc,0.499114990234375
58,multi_equal,lr,auc,0.47747802734375
58,multi_equal,lr,auc,0.432708740234375
58,multi_equal,lr,auc,0.478668212890625
58,multi_equal,lr,auc,0.469451904296875
122,multi_equal,lr,auc,0.5096282958984375
122,multi_equal,lr,auc,0.4604949951171875
122,multi_equal,lr,auc,0.4705810546875
122,multi_equal,lr,auc,0.4597015380859375
122,multi_equal,lr,auc,0.41796875
122,multi_equal,lr,auc,0.5163116455078125
122,multi_equal,lr,auc,0.4776763916015625
