Variable Set,Classifier,mean,median,std,CoV
LociFraction.CompartmentFraction,might,0.4728,0.472,0.010399999999999993,0.02199661590524533
DyadAccessibility.L1,might,0.37039999999999995,0.368,0.00880000000000001,0.023758099352051865
MotifAnalysis.OutsideHexamer,might,0.3888,0.388,0.009599999999999997,0.024691358024691353
MotifAnalysis.DegenerateHexamer,might,0.3792,0.376,0.009600000000000008,0.025316455696202552
MotifAnalysis.CongruentHexamer,might,0.4879999999999999,0.488,0.012393546707863733,0.02539661210627815
DyadAccessibility.AluJ,might,0.3152,0.312,0.008158431221748464,0.025883347784734976
LengthAnalysis.Length5,might,0.33999999999999997,0.336,0.008944271909999144,0.02630668208823278
LociFraction.cCREFraction,might,0.6384,0.636,0.017453939383417157,0.027340130613122116
LengthAnalysis.Length5,svm,0.5999999999999999,0.6,0.01788854381999831,0.029814239699997188
MotifAnalysis.InsideTrimer0.05,svm,0.6759999999999999,0.676,0.02093800372528382,0.03097337829183997
DyadAccessibility.cCRE_ProximalEnhancers,might,0.3968,0.4,0.012496399481450638,0.03149294224155907
MotifAnalysis.InsideTrimer0.01,svm,0.6767999999999998,0.68,0.022112439937736386,0.03267204482526063
LociFraction.AluFraction,might,0.5176000000000001,0.516,0.017906423428479527,0.03459509935950449
WiseCondorX.Wise-5,might,0.4728,0.48,0.016951696080333662,0.035853841117456986
LociFraction.AluFraction,rf,0.5791999999999999,0.584,0.02092271492899521,0.0361234719077956
MotifAnalysis.OutsideTrimer,svm,0.6544,0.66,0.025247574140895193,0.03858125632777383
MotifAnalysis.OutsideHexamer,svm,0.6287999999999999,0.632,0.0253487672284078,0.04031292498156457
LengthAnalysis.Length15,svm,0.6903999999999999,0.696,0.028182263926093645,0.04082019688020517
LengthAnalysis.Length20,svm,0.6679999999999999,0.668,0.02753906316489359,0.04122614246241556
LociFraction.CompartmentFraction,rf,0.5608000000000001,0.56,0.023852882425400894,0.04253367051605009
LengthAnalysis.Length1,svm,0.58,0.572,0.026107470195329146,0.04501287964711922
WiseCondorX.Wise-10,svm,0.6887999999999999,0.688,0.03208987379221051,0.046588086225625026
MotifAnalysis.OutsideTetramer,svm,0.6376,0.644,0.02994394763554065,0.046963531423369904
WiseCondorX.Wise-1,svm,0.5824,0.58,0.0281254333299951,0.048292296239689385
MotifAnalysis.OutsideDimer,rf,0.6032,0.608,0.03018873962258114,0.050047645262899766
MotifAnalysis.InsideDimer,rf,0.5784,0.584,0.029295733477760866,0.05064960836404022
DyadAccessibility.cCRE_DNaseH3K4me3,rf,0.5136000000000001,0.516,0.02672526894158413,0.052035180961028285
LengthAnalysis.Length15,rf,0.5544,0.556,0.029076450952617974,0.052446700852485525
WiseCondorX.Wise-5,svm,0.6583999999999999,0.648,0.03596442686878242,0.05462397762573273
MotifAnalysis.CongruentDimer,svm,0.6503999999999999,0.664,0.035786030794152074,0.05502157256173444
MotifAnalysis.InsideTrimer,svm,0.6536,0.656,0.03649438312946254,0.05583595950040169
LengthAnalysis.Length10,svm,0.6559999999999999,0.66,0.03769350076604719,0.057459604826291456
MotifAnalysis.OutsideMonomer,svm,0.6359999999999999,0.628,0.03687817782917156,0.05798455633517542
MotifAnalysis.OutsideDimer,svm,0.6312,0.652,0.037085846356797646,0.05875450943725863
MotifAnalysis.DegenerateHexamer,svm,0.6639999999999999,0.676,0.03902819493648149,0.05877740201277334
MotifAnalysis.OutsideTetramer,rf,0.5112,0.508,0.030452586097078876,0.059570786574880435
LociFraction.CompartmentFraction,svm,0.6599999999999999,0.66,0.03939543120718442,0.05969004728361276
LociFraction.cCREFraction,svm,0.6247999999999998,0.624,0.03742940020892668,0.05990621032158562
ichorCNA.ichorCNA,rf,0.4136,0.432,0.024799999999999996,0.0599613152804642
LociFraction.LINEsFraction,rf,0.568,0.568,0.034316176943243536,0.06041580447754144
LengthAnalysis.Length20,rf,0.5536000000000001,0.5640000000000001,0.03390339216066733,0.061241676590800806
LociFraction.LINEsFraction,svm,0.612,0.616,0.03756594202199646,0.06138225820587657
LociFraction.AluFraction,svm,0.6152,0.62,0.03827479588449819,0.06221520787467196
MotifAnalysis.OutsidePentamer,svm,0.6208,0.62,0.03873189899811266,0.062390301221186634
MotifAnalysis.DegenerateTetramer,rf,0.41200000000000003,0.40800000000000003,0.025861167800391383,0.06276982475823151
MotifAnalysis.CongruentHexamer,svm,0.6423999999999999,0.628,0.04032666611561139,0.06277500951994303
LengthAnalysis.Length10,rf,0.5104,0.504,0.03215960198758683,0.06300862458383
DyadAccessibility.AluY,rf,0.404,0.396,0.025612496949731393,0.06339726967755295
MotifAnalysis.OutsideTrimer,rf,0.5968,0.608,0.03789670170344643,0.06349983529397861
MotifAnalysis.InsideHexamer,svm,0.6472,0.652,0.04117474954386486,0.06361982315183075
MotifAnalysis.InsideMonomer,rf,0.5631999999999999,0.5640000000000001,0.036695503811775075,0.06515536898397564
MotifAnalysis.InsidePentamer,svm,0.6127999999999999,0.608,0.040031987210229755,0.06532634988614518
MotifAnalysis.InsideHexamer,rf,0.3976,0.4,0.02678507046845313,0.0673668774357473
MotifAnalysis.CongruentDimer,rf,0.572,0.588,0.038905012530521046,0.0680157561722396
WiseCondorX.Wise-1,rf,0.5463999999999999,0.552,0.03736094217227396,0.06837654131089672
MotifAnalysis.CongruentHexamer,rf,0.5287999999999999,0.54,0.036212704952820085,0.06848090951743588
LociFraction.cCREFraction,rf,0.5664,0.572,0.0388309155184371,0.0685574073418734
MotifAnalysis.InsideTetramer,svm,0.6287999999999999,0.628,0.04325921867070649,0.06879646735163247
MotifAnalysis.InsideTrimer,rf,0.5424000000000001,0.536,0.03748919844435194,0.06911725376908542
MotifAnalysis.InsideMonomer,svm,0.6352,0.64,0.04428272800991376,0.06971462218185416
DyadAccessibility.AluS,svm,0.344,0.33999999999999997,0.023999999999999997,0.06976744186046512
MotifAnalysis.DegenerateTetramer,svm,0.6495999999999998,0.648,0.0457890816680134,0.07048811833130143
MotifAnalysis.InsideTetramer,rf,0.46240000000000003,0.46799999999999997,0.03313970428353277,0.07166891064777849
MotifAnalysis.InsidePentamer,rf,0.4232,0.44,0.030662028634778883,0.07245280868331494
MotifAnalysis.OutsideMonomer,rf,0.5768000000000001,0.58,0.04194472553253865,0.07271970446001845
WiseCondorX.Wise-10,rf,0.5336000000000001,0.532,0.03887209796242029,0.07284875929988809
ichorCNA.ichorCNA,svm,0.5808000000000002,0.596,0.04251305681787654,0.07319741187650916
MotifAnalysis.InsideTrimer0.01,rf,0.4384,0.452,0.03235799746585069,0.073809300788893
WiseCondorX.Wise-5,rf,0.5608000000000001,0.56,0.041484454919885345,0.07397370706113648
LengthAnalysis.Length5,rf,0.36479999999999996,0.368,0.027058455240460424,0.07417339704073582
MotifAnalysis.OutsidePentamer,rf,0.4544,0.45999999999999996,0.033903392160667345,0.07461133838175031
MotifAnalysis.CongruentTetramer,svm,0.6464,0.652,0.04863578929142612,0.0752410106612409
MotifAnalysis.CongruentTetramer,rf,0.524,0.516,0.040199502484483556,0.07671660779481594
MotifAnalysis.InsideDimer,svm,0.6559999999999999,0.664,0.05034282471216727,0.0767421108417184
DyadAccessibility.AluY,svm,0.3896,0.384,0.02994394763554065,0.07685818181606943
MotifAnalysis.DegenerateHexamer,rf,0.43360000000000004,0.444,0.03371409200912877,0.07775390223507557
LengthAnalysis.Length1,rf,0.352,0.356,0.02839718295887816,0.08067381522408569
MotifAnalysis.InsideTrimer0.05,rf,0.46560000000000007,0.45999999999999996,0.037659527347007435,0.080883864576906
DyadAccessibility.cCRE_ProximalEnhancers,rf,0.35919999999999996,0.372,0.029382988275531135,0.0818011923038172
MotifAnalysis.OutsideHexamer,rf,0.42800000000000005,0.424,0.03971901307938051,0.09280143242845912
DyadAccessibility.cCRE_CTCF,rf,0.3992,0.4,0.0376,0.09418837675350701
DyadAccessibility.cCRE_Promoters,rf,0.4736000000000001,0.46799999999999997,0.04550868049064924,0.09609096387383706
DyadAccessibility.BudhrajaRPR,rf,0.3272,0.328,0.03168848371254137,0.09684744410923402
DyadAccessibility.AluS,rf,0.36479999999999996,0.372,0.03652067907364265,0.10011151061853797
Delfi.LengthRatio,rf,0.472,0.48,0.05306599664568641,0.11242795899509833
DyadAccessibility.L1,rf,0.3912,0.392,0.04417420061529127,0.1129197357241597
DyadAccessibility.AluJ,svm,0.3952,0.4,0.04842478704134897,0.12253235587385873
DyadAccessibility.AluY,lr,0.2144,0.216,0.026725268941584106,0.12465144095888109
DyadAccessibility.cCRE_DNaseH3K4me3,svm,0.26160000000000005,0.268,0.034325500724679894,0.13121368778547357
Delfi.LengthRatio,svm,0.4112,0.41200000000000003,0.05647796030311293,0.137349125250761
DyadAccessibility.LINEs,rf,0.36,0.376,0.04995998398718718,0.13877773329774218
LengthAnalysis.Length10,lr,0.13120000000000004,0.128,0.020922714928995233,0.1594719125685612
DyadAccessibility.BudhrajaRPR,svm,0.34319999999999995,0.33999999999999997,0.05478101861046398,0.15961835259459203
DyadAccessibility.cCRE_CTCF,svm,0.25040000000000007,0.26,0.040956562355744665,0.16356454614913998
DyadAccessibility.cCRE_DistalEnhancers,rf,0.3912,0.396,0.06464178215365043,0.16523972943162177
LengthAnalysis.Length15,lr,0.1616,0.152,0.027434285119171595,0.1697666158364579
DyadAccessibility.AluS,lr,0.17679999999999998,0.176,0.03002931900659753,0.1698490894038322
DyadAccessibility.cCRE_Promoters,svm,0.19519999999999998,0.192,0.034539253031876646,0.17694289463051563
ichorCNA.ichorCNA,nb,0.1232,0.12,0.022112439937736407,0.17948409040370458
ichorCNA.ichorCNA,lr,0.17919999999999997,0.16799999999999998,0.033216863187242714,0.1853619597502384
MotifAnalysis.InsideDimer,lr,0.055200000000000006,0.056,0.010998181667894017,0.19924242151981914
DyadAccessibility.AluJ,rf,0.33759999999999996,0.332,0.06833330081300039,0.20240906638921918
DyadAccessibility.cCRE_ProximalEnhancers,svm,0.25600000000000006,0.256,0.05196922166051749,0.2030047721113964
DyadAccessibility.cCRE_ProximalEnhancers,lr,0.1232,0.112,0.025095019426172992,0.2036933394981574
DyadAccessibility.cCRE_DistalEnhancers,svm,0.2528,0.224,0.051993845789670146,0.20567185834521418
DyadAccessibility.cCRE_Promoters,nb,0.19039999999999999,0.208,0.04076076544914239,0.21407965046818483
DyadAccessibility.BudhrajaRPR,lr,0.11920000000000001,0.12,0.025662423891752707,0.21528879103819382
DyadAccessibility.LINEs,svm,0.2919999999999999,0.292,0.06521349553581682,0.22333388882129052
DyadAccessibility.cCRE_CTCF,lr,0.1272,0.124,0.02981543224573476,0.23439805224634241
MotifAnalysis.CongruentTetramer,nb,0.14559999999999998,0.136,0.03427885645700568,0.23543170643547862
LengthAnalysis.Length20,lr,0.12400000000000003,0.112,0.030199337741083,0.2435430462990564
DyadAccessibility.AluJ,lr,0.1016,0.1,0.025056735621385322,0.24662141359631223
DyadAccessibility.AluY,nb,0.12800000000000003,0.12,0.032397530770106535,0.25310570914145725
DyadAccessibility.L1,svm,0.27199999999999996,0.26,0.06946653870749571,0.2553916864246166
WiseCondorX.Wise-10,lr,0.23200000000000004,0.248,0.059652326023383204,0.25712209492837584
LociFraction.CompartmentFraction,lr,0.076,0.076,0.01967739820199815,0.2589131342368178
WiseCondorX.Wise-10,nb,0.1552,0.14400000000000002,0.04019154139865751,0.25896611725939117
MotifAnalysis.OutsidePentamer,nb,0.1304,0.136,0.03395055227827671,0.26035699599905454
MotifAnalysis.OutsideTrimer,lr,0.07680000000000001,0.072,0.02030172406471923,0.2643453654260316
DyadAccessibility.AluJ,nb,0.10880000000000001,0.1,0.030399999999999996,0.2794117647058823
MotifAnalysis.OutsideMonomer,nb,0.1296,0.11599999999999999,0.03731809212700993,0.2879482417207556
LociFraction.CompartmentFraction,nb,0.12879999999999997,0.128,0.03742940020892667,0.2906009332991202
LociFraction.AluFraction,lr,0.0816,0.08399999999999999,0.02421239352067449,0.2967205088317952
DyadAccessibility.cCRE_Promoters,lr,0.08959999999999999,0.088,0.026963679274164345,0.30093392047058426
DyadAccessibility.cCRE_DistalEnhancers,lr,0.1016,0.088,0.030994193004496826,0.30506095476866957
MotifAnalysis.OutsideMonomer,lr,0.0816,0.08,0.02499279896290129,0.30628430101594717
MotifAnalysis.OutsidePentamer,lr,0.068,0.06,0.022126906697502925,0.3253956867279842
DyadAccessibility.cCRE_CTCF,nb,0.14080000000000004,0.128,0.045844956102062094,0.32560338140669093
DyadAccessibility.LINEs,lr,0.09759999999999999,0.096,0.032159601987586856,0.3295041187252752
MotifAnalysis.InsideHexamer,lr,0.0736,0.068,0.024475293665245364,0.33254475088648594
MotifAnalysis.InsideTrimer,nb,0.12160000000000001,0.112,0.04060344812943846,0.3339099352749873
LociFraction.AluFraction,nb,0.12000000000000002,0.108,0.040159681273635624,0.33466401061363016
LengthAnalysis.Length1,lr,0.1472,0.156,0.049470799467968986,0.33607880073348495
MotifAnalysis.OutsideDimer,lr,0.07919999999999999,0.08,0.02664132128855474,0.3363803192999336
DyadAccessibility.L1,lr,0.10400000000000001,0.1,0.03505424368033063,0.3370600353877945
MotifAnalysis.OutsideTrimer,nb,0.172,0.14,0.0583780780773057,0.33940743068200996
DyadAccessibility.cCRE_DNaseH3K4me3,nb,0.1496,0.124,0.05160465095318444,0.34495087535551094
LengthAnalysis.Length5,lr,0.17120000000000002,0.152,0.05967377983670886,0.34856179811161714
LociFraction.cCREFraction,lr,0.058399999999999994,0.056,0.020567936211491906,0.3521906885529436
MotifAnalysis.InsideTrimer0.01,nb,0.12,0.124,0.042332020977033445,0.3527668414752787
LociFraction.LINEsFraction,nb,0.15439999999999998,0.132,0.05496762683616603,0.35600794583009093
MotifAnalysis.OutsideTetramer,lr,0.072,0.076,0.025799224794555358,0.35832256659104667
MotifAnalysis.CongruentDimer,lr,0.053599999999999995,0.052000000000000005,0.019935897271003377,0.3719383819217048
MotifAnalysis.OutsideHexamer,lr,0.07759999999999997,0.08399999999999999,0.029076450952618,0.37469653289456195
MotifAnalysis.InsideTetramer,lr,0.0632,0.06,0.02385288242540092,0.377419025718369
LociFraction.LINEsFraction,lr,0.0952,0.096,0.03638900932974131,0.3822374929594675
DyadAccessibility.cCRE_ProximalEnhancers,nb,0.0832,0.088,0.03223910668737581,0.38748926306942083
MotifAnalysis.InsideTetramer,nb,0.1648,0.14800000000000002,0.06421962316924633,0.3896821794250384
MotifAnalysis.CongruentDimer,nb,0.1656,0.164,0.06489869027954262,0.39190030362042644
LengthAnalysis.Length10,nb,0.15200000000000002,0.12,0.06144916598294886,0.40427082883518983
MotifAnalysis.InsideMonomer,lr,0.0624,0.052000000000000005,0.025749563103089727,0.41265325485720716
MotifAnalysis.InsideTrimer,lr,0.0776,0.076,0.032799999999999996,0.42268041237113396
LengthAnalysis.Length1,nb,0.13279999999999997,0.108,0.05625086665999023,0.42357580316257715
MotifAnalysis.OutsideTetramer,nb,0.1744,0.172,0.07434406499512923,0.42628477634821804
DyadAccessibility.cCRE_DNaseH3K4me3,lr,0.0904,0.096,0.03854140630542689,0.4263429901042798
MotifAnalysis.InsideTrimer0.05,lr,0.06960000000000001,0.068,0.02972944668169927,0.42714722243820785
MotifAnalysis.DegenerateHexamer,lr,0.07599999999999998,0.076,0.03379940827884417,0.4447290563005813
MotifAnalysis.InsideDimer,nb,0.17600000000000002,0.16,0.07911510601648715,0.44951764782094966
LociFraction.cCREFraction,nb,0.1192,0.124,0.0536,0.44966442953020136
MotifAnalysis.DegenerateTetramer,nb,0.0968,0.092,0.04373739818507727,0.45183262587889744
MotifAnalysis.InsidePentamer,lr,0.07520000000000002,0.08,0.033978816930552484,0.45184596982117653
Delfi.LengthRatio,lr,0.0792,0.08399999999999999,0.036035538014576665,0.4549941668507154
WiseCondorX.Wise-5,lr,0.06240000000000001,0.06,0.028576913759186806,0.4579633615254295
MotifAnalysis.InsideMonomer,nb,0.12720000000000004,0.124,0.058727846887145455,0.4616969094901371
MotifAnalysis.InsideTrimer0.05,nb,0.08560000000000001,0.08399999999999999,0.03984771009731927,0.46551063197802883
MotifAnalysis.OutsideDimer,nb,0.1416,0.128,0.0660714764478591,0.4666064720894004
LengthAnalysis.Length15,nb,0.1416,0.124,0.06636143458364956,0.4686541990370731
WiseCondorX.Wise-1,lr,0.0784,0.064,0.03748919844435194,0.47817855158612166
MotifAnalysis.DegenerateTetramer,lr,0.0632,0.06,0.030662028634778883,0.48515868093004555
MotifAnalysis.CongruentHexamer,lr,0.07200000000000002,0.068,0.03559775273805918,0.49441323247304403
MotifAnalysis.InsideTrimer0.01,lr,0.06480000000000001,0.056,0.032089873792210524,0.4952141017316438
LengthAnalysis.Length20,nb,0.12400000000000003,0.12,0.06189022539949262,0.49911472096365006
LengthAnalysis.Length5,nb,0.1608,0.16,0.08715595217769122,0.5420146279707165
MotifAnalysis.CongruentTetramer,lr,0.07120000000000001,0.06,0.038607771238443694,0.5422439780680293
DyadAccessibility.AluS,nb,0.1296,0.136,0.07321639160734433,0.5649412932665459
Delfi.LengthRatio,nb,0.0504,0.048,0.03099419300449683,0.6149641469146196
MotifAnalysis.InsidePentamer,nb,0.0728,0.068,0.045599999999999995,0.6263736263736263
WiseCondorX.Wise-1,nb,0.1224,0.12,0.0781424340547439,0.6384185788786266
WiseCondorX.Wise-5,nb,0.11600000000000002,0.12,0.07515317691222374,0.6478722147605493
DyadAccessibility.cCRE_DistalEnhancers,nb,0.0688,0.068,0.05112494498774547,0.7430951306358353
DyadAccessibility.BudhrajaRPR,nb,0.068,0.08399999999999999,0.05273329119256639,0.7754895763612704
DyadAccessibility.LINEs,nb,0.057600000000000005,0.07999999999999999,0.04837189266505911,0.8397898032128317
DyadAccessibility.L1,nb,0.0752,0.076,0.06695192304930457,0.8903181256556458
MotifAnalysis.DegenerateHexamer,nb,0.029599999999999998,0.0,0.036669333236370685,1.2388288255530637
MotifAnalysis.InsideHexamer,nb,0.033600000000000005,0.0,0.044800000000000006,1.3333333333333333
MotifAnalysis.OutsideHexamer,nb,0.0248,0.0,0.035678564993564414,1.4386518142566296
MotifAnalysis.CongruentHexamer,nb,0.0032,0.0,0.009600000000000001,3.0
