Variable Set,Classifier,mean,median,std,CoV
LociFraction.AluFraction,rf,0.6039215686274508,0.5931372549019608,0.03877199986918664,0.06420038939378309
MotifAnalysis.InsideHexamer,svm,0.6843137254901961,0.6862745098039216,0.04401949866792874,0.06432648802476693
DyadAccessibility.AluY,rf,0.5362745098039217,0.5441176470588236,0.03453708814472263,0.06440188282928168
LengthAnalysis.Length20,lr,0.5813725490196078,0.5833333333333333,0.03772917922528206,0.06489673323741603
MotifAnalysis.OutsideHexamer,svm,0.6852941176470588,0.6911764705882353,0.04459437417860456,0.06507333571126846
MotifAnalysis.CongruentHexamer,svm,0.6852941176470588,0.6911764705882353,0.04459437417860456,0.06507333571126846
DyadAccessibility.AluY,svm,0.5813725490196078,0.5735294117647058,0.038235294117647055,0.0657672849915683
MotifAnalysis.OutsideMonomer,lr,0.6549019607843137,0.6519607843137255,0.04313725490196078,0.06586826347305388
MotifAnalysis.OutsideTetramer,svm,0.6872549019607843,0.7009803921568627,0.04649374784854658,0.06765138773968261
LociFraction.LINEsFraction,svm,0.6745098039215687,0.6862745098039216,0.045732956038002356,0.06780176621913139
MotifAnalysis.InsideTrimer,svm,0.7000000000000001,0.696078431372549,0.04746556249768707,0.06780794642526723
MotifAnalysis.InsideMonomer,lr,0.657843137254902,0.6617647058823529,0.04480939169422134,0.06811561777661068
LociFraction.AluFraction,svm,0.6813725490196079,0.6911764705882353,0.04727279784800467,0.06937878245318671
MotifAnalysis.OutsideTrimer,rf,0.5450980392156862,0.5343137254901961,0.038021018489539836,0.06975078931534287
DyadAccessibility.AluS,rf,0.5147058823529412,0.5147058823529411,0.03595513886449462,0.06985569836530382
LengthAnalysis.Length15,lr,0.580392156862745,0.5882352941176471,0.04108299380344502,0.07078488797215189
LociFraction.cCREFraction,svm,0.6813725490196079,0.696078431372549,0.04827871471468678,0.07085509209925255
DyadAccessibility.cCRE_ProximalEnhancers,svm,0.3833333333333333,0.38235294117647056,0.027187107105611858,0.07092288810159615
MotifAnalysis.CongruentTetramer,svm,0.6901960784313725,0.7058823529411764,0.04944909887419016,0.07164500120976415
DyadAccessibility.AluS,lr,0.4666666666666667,0.45588235294117646,0.033448474723984274,0.0716753029799663
MotifAnalysis.InsideTetramer,rf,0.457843137254902,0.45098039215686275,0.032824841260359235,0.07169451410185528
MotifAnalysis.CongruentDimer,svm,0.7009803921568628,0.7205882352941176,0.050421140669112914,0.07192945941607716
DyadAccessibility.L1,svm,0.4,0.4068627450980392,0.029016958013624982,0.07254239503406246
DyadAccessibility.L1,rf,0.4696078431372549,0.46568627450980393,0.03408889931512492,0.07259014050402383
MotifAnalysis.DegenerateHexamer,lr,0.6637254901960783,0.6519607843137255,0.04823888078487273,0.07267896366406232
DyadAccessibility.cCRE_CTCF,svm,0.34019607843137256,0.3382352941176471,0.02482154686504345,0.07296247205286548
MotifAnalysis.InsideHexamer,rf,0.41470588235294115,0.4068627450980392,0.030706783849736918,0.07404472701355001
LengthAnalysis.Length20,svm,0.6421568627450982,0.6568627450980392,0.0478788841061756,0.07455948364625817
DyadAccessibility.cCRE_DistalEnhancers,svm,0.35784313725490197,0.35784313725490197,0.02675949816461995,0.07477996747373246
DyadAccessibility.BudhrajaRPR,lr,0.4421568627450981,0.45098039215686275,0.03323225736603586,0.07515942907617866
MotifAnalysis.DegenerateHexamer,rf,0.4166666666666667,0.41666666666666663,0.03138786390898455,0.07533087338156291
DyadAccessibility.AluY,lr,0.44117647058823534,0.446078431372549,0.033390953658679216,0.07568616162633955
MotifAnalysis.OutsideTrimer,svm,0.6911764705882354,0.6911764705882353,0.05247617133753976,0.07592297129686602
MotifAnalysis.InsideTetramer,svm,0.6882352941176471,0.7058823529411764,0.05257681442271343,0.07639366198172037
DyadAccessibility.cCRE_DistalEnhancers,lr,0.37941176470588234,0.37745098039215685,0.029752923344104933,0.07841855765112929
LengthAnalysis.Length10,lr,0.5549019607843138,0.5588235294117647,0.043668740100627615,0.07869631608240311
DyadAccessibility.BudhrajaRPR,svm,0.42745098039215684,0.43137254901960786,0.03373460889036323,0.07892041529396902
DyadAccessibility.cCRE_ProximalEnhancers,lr,0.3970588235294118,0.39215686274509803,0.03138786390898455,0.07905091651151663
DyadAccessibility.cCRE_DNaseH3K4me3,lr,0.4225490196078431,0.41666666666666663,0.03352023724956618,0.07932863571823089
DyadAccessibility.LINEs,lr,0.39117647058823535,0.39215686274509803,0.03205447592994474,0.08194377305399406
DyadAccessibility.cCRE_Promoters,lr,0.3382352941176471,0.3382352941176471,0.027816197959041385,0.08223919396586148
MotifAnalysis.InsidePentamer,rf,0.45784313725490194,0.4509803921568627,0.03848585573802064,0.08405904251130845
MotifAnalysis.CongruentDimer,rf,0.5725490196078431,0.553921568627451,0.04826875931408301,0.08430502482939156
MotifAnalysis.InsideTrimer0.01,rf,0.4088235294117647,0.41666666666666663,0.03453708814472262,0.08447920841155174
LociFraction.CompartmentFraction,svm,0.669607843137255,0.6617647058823529,0.05717460122283658,0.08538520241184964
LengthAnalysis.Length1,rf,0.5323529411764707,0.5490196078431373,0.04557505607517436,0.08561060257215072
MotifAnalysis.CongruentTetramer,rf,0.4666666666666666,0.46568627450980393,0.04047013223637312,0.08672171193508527
Delfi.LengthRatio,lr,0.31764705882352934,0.3137254901960784,0.027798915448544747,0.08751510418986311
DyadAccessibility.cCRE_Promoters,rf,0.511764705882353,0.5147058823529411,0.04552230104409374,0.08895162272983832
DyadAccessibility.cCRE_DistalEnhancers,rf,0.4607843137254902,0.4411764705882353,0.041129758751770655,0.08926032750384269
DyadAccessibility.L1,lr,0.3892156862745098,0.3970588235294118,0.03508927483955546,0.09015380437366893
MotifAnalysis.InsideMonomer,rf,0.5745098039215686,0.5637254901960784,0.052283496572444646,0.09100540359026202
LengthAnalysis.Length15,rf,0.553921568627451,0.5490196078431373,0.050611409800550226,0.09136927079037385
DyadAccessibility.cCRE_CTCF,rf,0.4784313725490196,0.4852941176470588,0.04466974803880204,0.09336709631061083
MotifAnalysis.OutsideDimer,rf,0.553921568627451,0.5588235294117647,0.05192377520339356,0.09373849682736536
MotifAnalysis.InsideTrimer,rf,0.5058823529411764,0.5049019607843137,0.04746556249768709,0.09382727470473029
MotifAnalysis.InsideDimer,rf,0.5568627450980392,0.5490196078431373,0.05312242032997673,0.09539589566298638
MotifAnalysis.OutsideMonomer,rf,0.5686274509803921,0.5490196078431373,0.054409556570633774,0.09568577190008008
DyadAccessibility.BudhrajaRPR,rf,0.49411764705882355,0.5147058823529411,0.047667630514287136,0.09647020461224777
DyadAccessibility.cCRE_DNaseH3K4me3,svm,0.4333333333333334,0.45098039215686275,0.042008402520840295,0.09694246735578528
LengthAnalysis.Length20,rf,0.5647058823529412,0.5588235294117647,0.054971944191671326,0.0973461511727513
DyadAccessibility.LINEs,rf,0.4607843137254902,0.47058823529411764,0.04514064483616211,0.0979648036869901
MotifAnalysis.OutsideHexamer,rf,0.43235294117647055,0.4166666666666667,0.0426104192394132,0.09855471116598973
DyadAccessibility.cCRE_CTCF,lr,0.36764705882352944,0.3627450980392157,0.037267799624996496,0.10136841497999047
MotifAnalysis.OutsidePentamer,rf,0.46862745098039216,0.46078431372549017,0.04778846120374095,0.10197537746404974
MotifAnalysis.InsideTrimer0.05,rf,0.4450980392156863,0.43137254901960786,0.046234612245300365,0.10387512002248099
Delfi.LengthRatio,rf,0.5049019607843138,0.47058823529411764,0.05265901569410113,0.10429552622909348
Delfi.LengthRatio,svm,0.3598039215686275,0.3627450980392157,0.03772917922528207,0.10486038912748694
LociFraction.CompartmentFraction,rf,0.5627450980392157,0.5441176470588236,0.059667153155697795,0.10602873905716333
LengthAnalysis.Length5,rf,0.531372549019608,0.5392156862745098,0.05662560422821039,0.10656479024497156
DyadAccessibility.cCRE_DNaseH3K4me3,rf,0.5107843137254902,0.5098039215686274,0.05536395256272745,0.108390079873286
LengthAnalysis.Length10,rf,0.5333333333333333,0.5343137254901961,0.05786805711126945,0.10850260708363023
MotifAnalysis.CongruentHexamer,rf,0.43235294117647066,0.4411764705882353,0.04731344514515158,0.10943245815885398
LociFraction.cCREFraction,rf,0.5627450980392157,0.5441176470588236,0.06203643929237795,0.11023896877739635
LociFraction.LINEsFraction,rf,0.5627450980392157,0.5490196078431373,0.06724089489993039,0.11948730452600871
